"embla__slide__inner href","embla__slide__img src","embla__slide__img src 2","embla__slide__inner href 3","embla__slide__img src 3","embla__slide__inner href 4","embla__slide__img src 4","embla","embla__slide__number 2","price-content","detailed-info-container","detailed-info-container 2","detailed-info-container 3","property-name","property-description","agent-name","agency-name","idx-logo src","for-sale-content-container href","for-sale-content-container","price-container","status-pill","builder-name","builder-type","move-in-ready-content-container href","move-in-ready-content-container"
"https://www.homes.com/property/10128-crawford-way-sacramento-ca/7dxr48g6c19eh/","https://www.homes.com/assets/images/spacer.gif","https://images.homes.com/listings/102/2878251264-457737112/10128-crawford-way-sacramento-ca-primaryphoto.jpg","https://www.homes.com/property/10128-crawford-way-sacramento-ca/7dxr48g6c19eh/","https://images.homes.com/listings/117/3878251264-457737112/10128-crawford-way-sacramento-ca-buildingphoto-2.jpg","https://www.homes.com/property/10128-crawford-way-sacramento-ca/7dxr48g6c19eh/","https://images.homes.com/listings/117/5878251264-457737112/10128-crawford-way-sacramento-ca-buildingphoto-3.jpg","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/10128-crawford-way-sacramento-ca/7dxr48g6c19eh/"" role=""link"" aria-label=""10128 Crawford Way, Sacramento, CA 95827"" title=""10128 Crawford Way, Sacramento, CA 95827"">
                                    <img class=""embla__slide__img image-container"" alt=""10128 Crawford Way, Sacramento, CA 95827"" />
                                </a>
                            </div>
                        </div>","43","$562,000","4 Beds","2 Baths","1,834 Sq Ft","10128 Crawford Way, Sacramento, CA 95827","Don't miss your chance to own both units of a Duplex! This is a great investment opportunity, with tenants already in place. Each side of the Duplex has 2 bedrooms, 1 bathroom, fireplaces in the living rooms, central heating and air, and attached 1 car garages. One of the units was recently remodeled with new windows, new flooring, fresh paint, new stainless steel gas stove and dishwasher, new","Lisa Drake","Lisa Drake Properties","https://images.homes.com/brands/118/7121_aspect.png?t=p","https://www.homes.com/property/10128-crawford-way-sacramento-ca/7dxr48g6c19eh/","10128 Crawford Way, Sacramento, CA 95827","","","","","",""
"https://www.homes.com/property/plan-1755-modeled-westcott-station/615q5tlgmxcqd/","https://www.homes.com/assets/images/spacer.gif","https://imagescdn.homes.com/i2/5I27o_w7A1mbjYR46TCs1f22jPs52QkPTIklj4XbOoo/117/3636-parc-villa-cir-sacramento-ca-primaryphoto.jpg?p=1","https://www.homes.com/property/plan-1755-modeled-westcott-station/615q5tlgmxcqd/","https://imagescdn.homes.com/i2/r2O9o2OS8wCQWNZbFYDdDy5uR92Ae5lgUGMOKyShjfQ/117/3636-parc-villa-cir-sacramento-ca--2.jpg?p=1","https://www.homes.com/property/plan-1755-modeled-westcott-station/615q5tlgmxcqd/","https://imagescdn.homes.com/i2/db108HWtpxSzPElvJXPeOuB4v0DKjUD2PuOhZoiwrzA/117/3636-parc-villa-cir-sacramento-ca--3.jpg?p=1","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/plan-1755-modeled-westcott-station/615q5tlgmxcqd/"" role=""link"" aria-label=""3636 Parc Villa Cir Unit 36514522, Sacramento, CA 95827"" title=""3636 Parc Villa Cir Unit 36514522, Sacramento, CA 95827"">
                                    <img class=""embla__slide__img image-container"" alt=""3636 Parc Villa Cir Unit 36514522, Sacramento, CA 95827"" />
                                </a>
                            </div>
                        </div>","9","","3 Beds","2.5 Baths","1,755 Sq Ft","Plan 1755 Modeled at Westcott Station, Sacramento, CA 95827","* Walk-in kitchen pantry * Den * Loft * Dual-sink vanity at primary bath * Quartz kitchen countertops * Luxury vinyl plank flooring at entry, kitchen, laundry and baths * Extra storage space * Spacious great room * Kitchen USB charging port * Smart thermostat * WaterSense labeled faucets * ENERGY STAR certified home * Close to popular restaurants * Commuter-friendly location * Close to golf","","","","","","$481,990","New Construction","KB Home","Builder","",""
"https://www.homes.com/property/plan-1587-modeled-westcott-station/yh2swgwqyh4m9/","https://www.homes.com/assets/images/spacer.gif","https://imagescdn.homes.com/i2/49FSG-EMpAujNOjWqE_lNYzMClSeLxmD6LODd6Z-bEU/117/3636-parc-villa-cir-sacramento-ca-primaryphoto.jpg?p=1","https://www.homes.com/property/plan-1587-modeled-westcott-station/yh2swgwqyh4m9/","https://imagescdn.homes.com/i2/hOSfKA6DDP1ikR7egys6rfr0WuD534ydF-p2JH6IQeo/117/3636-parc-villa-cir-sacramento-ca--2.jpg?p=1","https://www.homes.com/property/plan-1587-modeled-westcott-station/yh2swgwqyh4m9/","https://imagescdn.homes.com/i2/is-puQalDkmWUiujdr1-2Dd2g4IzJVGbaiFodJkc_a4/117/3636-parc-villa-cir-sacramento-ca--3.jpg?p=1","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/plan-1587-modeled-westcott-station/yh2swgwqyh4m9/"" role=""link"" aria-label=""3636 Parc Villa Cir Unit 36514524, Sacramento, CA 95827"" title=""3636 Parc Villa Cir Unit 36514524, Sacramento, CA 95827"">
                                    <img class=""embla__slide__img image-container"" alt=""3636 Parc Villa Cir Unit 36514524, Sacramento, CA 95827"" />
                                </a>
                            </div>
                        </div>","7","","3 Beds","2.5 Baths","1,587 Sq Ft","Plan 1587 Modeled at Westcott Station, Sacramento, CA 95827","* Under-stair storage * Loft * Quartz kitchen countertops * Dual-sink vanity at primary bath * Upstairs laundry room * Luxury vinyl plank flooring at entry, kitchen, laundry and baths * Extra storage space * Kitchen USB charging port * Low-E windows * Smart thermostat * WaterSense labeled faucets * ENERGY STAR certified home * Close to popular restaurants * Commuter-friendly location * Close to","","","","","","$465,990","New Construction","KB Home","Builder","",""
"https://www.homes.com/property/3012-poas-way-rancho-cordova-ca/gmgh5ybwhvteq/","https://www.homes.com/assets/images/spacer.gif","https://imagescdn.homes.com/i2/xYfSTd6YSe6UmhyzOy-CxeRtS6JaUu7ns6sLwjr6bcY/117/3012-poas-way-rancho-cordova-ca-primaryphoto.jpg?p=1","https://www.homes.com/property/3012-poas-way-rancho-cordova-ca/gmgh5ybwhvteq/","https://imagescdn.homes.com/i2/XKU3cS3N06XM5jXShGU7zuB8-7JAluTRl_VVo1bzYvc/117/3012-poas-way-rancho-cordova-ca-interiorphoto-2.png?p=1","https://www.homes.com/property/3012-poas-way-rancho-cordova-ca/gmgh5ybwhvteq/","https://imagescdn.homes.com/i2/jQbrH2k5Ua8jEp6N759b0yHIf5dIxdlR0kStLUZx0Js/117/3012-poas-way-rancho-cordova-ca-interiorphoto-3.jpg?p=1","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/3012-poas-way-rancho-cordova-ca/gmgh5ybwhvteq/"" role=""link"" aria-label=""3012 Poas Way, Rancho Cordova, CA 95742"" title=""3012 Poas Way, Rancho Cordova, CA 95742"">
                                    <img class=""embla__slide__img image-container"" alt=""3012 Poas Way, Rancho Cordova, CA 95742"" />
                                </a>
                            </div>
                        </div>","15","","3 Beds","2 Baths","1,739 Sq Ft","3012 Poas Way, Rancho Cordova, CA 95742","Plan 1739 is an airy, single-story home with desirable features and finishes that the whole family is sure to love. The extended covered front porch creates a grand entrance into this stunning one-story homeleading you into the 3 bedroom, 2 bathroom and 2-car garage layout. Enter the home through the front door or the garage to find the laundry room on your right, followed by a hallway that","","","","","","$639,170","New Construction","Elliott Homes","Builder","https://www.homes.com/property/3012-poas-way-rancho-cordova-ca/gmgh5ybwhvteq/","3012 Poas Way, Rancho Cordova, CA 95742"
"https://www.homes.com/property/plan-1923-stone-creek-village-veranda/1ekpd2qrp86yn/","https://www.homes.com/assets/images/spacer.gif","https://imagescdn.homes.com/i2/2CcPD0bc3U8VDOmgfdC1pxMTCGKd8-N6u4b6FK46L_s/117/3451-russett-way-rancho-cordova-ca-primaryphoto.jpg?p=1","https://www.homes.com/property/plan-1923-stone-creek-village-veranda/1ekpd2qrp86yn/","https://imagescdn.homes.com/i2/M-Yi4e1JgY92VRxYYabr3a2pUi3ZJ4pFMlAa0yPZYyI/117/3451-russett-way-rancho-cordova-ca--2.jpg?p=1","https://www.homes.com/property/plan-1923-stone-creek-village-veranda/1ekpd2qrp86yn/","https://imagescdn.homes.com/i2/Glu2U_6u0by9yz9oC9h2PchQy_PJuY3jlrScWvGR-C8/117/3451-russett-way-rancho-cordova-ca--3.jpg?p=1","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/plan-1923-stone-creek-village-veranda/1ekpd2qrp86yn/"" role=""link"" aria-label=""3451 Russett Way Unit 36451321, Rancho Cordova, CA 95670"" title=""3451 Russett Way Unit 36451321, Rancho Cordova, CA 95670"">
                                    <img class=""embla__slide__img image-container"" alt=""3451 Russett Way Unit 36451321, Rancho Cordova, CA 95670"" />
                                </a>
                            </div>
                        </div>","12","","4 Beds","3 Baths","1,923 Sq Ft","Plan 1923 at Stone Creek Village - Veranda, Rancho Cordova, CA 95670","Introducing Plan 1923 at Veranda in Stone Creek Village! This spacious single family home in Rancho Cordova, CA offers 4 beds, 3 baths, and 1,923 sq ft of living space. With a 2 car garage and a 2 story layout, this home provides plenty of room for families of all sizes.The downstairs showcases an open kitchen and great room, a coat closet, covered patio, and a full-size bathroom and bedroom.","","","","","","$514,950","New Construction","Elliott Homes","Builder","",""
"https://www.homes.com/property/10745-pedro-way-rancho-cordova-ca/hgypy08wj1nl4/","https://www.homes.com/assets/images/spacer.gif","https://images.homes.com/listings/117/3641000974-993553612/10745-pedro-way-rancho-cordova-ca-primaryphoto.jpg","https://www.homes.com/property/10745-pedro-way-rancho-cordova-ca/hgypy08wj1nl4/","https://images.homes.com/listings/117/5641000974-993553612/10745-pedro-way-rancho-cordova-ca-buildingphoto-2.jpg","https://www.homes.com/property/10745-pedro-way-rancho-cordova-ca/hgypy08wj1nl4/","https://images.homes.com/listings/117/7641000974-993553612/10745-pedro-way-rancho-cordova-ca-buildingphoto-3.jpg","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/10745-pedro-way-rancho-cordova-ca/hgypy08wj1nl4/"" role=""link"" aria-label=""10745 Pedro Way, Rancho Cordova, CA 95670"" title=""10745 Pedro Way, Rancho Cordova, CA 95670"">
                                    <img class=""embla__slide__img image-container"" alt=""10745 Pedro Way, Rancho Cordova, CA 95670"" />
                                </a>
                            </div>
                        </div>","24","$525,000","4 Beds","2 Baths","1,666 Sq Ft","10745 Pedro Way, Rancho Cordova, CA 95670","Welcome to this beautifully updated 4-bedroom, 2-bath Rancho Cordova gem offering 1,666 sqft of stylish and functional living space. Step inside to discover a thoughtfully remodeled interior featuring a modern kitchen with sleek finishes, updated baths, and new paint/flooring throughout. Enjoy the versatility of both a separate living room and family room is ideal for entertaining or relaxing.","David Orr","Redfin Corporation","https://images.homes.com/brands/118/7121_aspect.png?t=p","https://www.homes.com/property/10745-pedro-way-rancho-cordova-ca/hgypy08wj1nl4/","10745 Pedro Way, Rancho Cordova, CA 95670","","","","","",""
"https://www.homes.com/property/unlisted-address/tzpx9mmld447b/","https://www.homes.com/assets/images/spacer.gif","https://images.homes.com/listings/117/4749944974-725435612-original.jpg","https://www.homes.com/property/unlisted-address/tzpx9mmld447b/","https://images.homes.com/listings/117/8749944974-725435612-original.jpg","https://www.homes.com/property/unlisted-address/tzpx9mmld447b/","https://images.homes.com/listings/117/2849944974-725435612-original.jpg","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/unlisted-address/tzpx9mmld447b/"" role=""link"" aria-label=""Unlisted Address"" title=""Unlisted Address"">
                                    <img class=""embla__slide__img image-container"" alt=""Unlisted Address"" />
                                </a>
                            </div>
                        </div>","21","$110,000","3 Beds","2 Baths","1,440 Sq Ft","Unlisted Address","This manufactured home with 1400 Sq ft located in a prime spot. This place is in great condition and offers the perfect blend of comfort and style. With 3 spacious bedrooms and 2 full bathrooms, it's ideal for families or anyone looking for extra space. The dual pane windows not only add to the aesthetic appeal but also provide excellent insulation, keeping energy costs down. Plus, the laminate","Garry Singh","Ares Realty","https://images.homes.com/brands/118/7121_aspect.png?t=p","https://www.homes.com/property/unlisted-address/tzpx9mmld447b/","Unlisted Address","","","","","",""
"https://www.homes.com/property/10946-international-dr-rancho-cordova-ca/kevhpnenbr1b6/","https://www.homes.com/assets/images/spacer.gif","https://images.homes.com/listings/117/0375941374-010828312/10946-international-dr-rancho-cordova-ca-primaryphoto.jpg","https://www.homes.com/property/10946-international-dr-rancho-cordova-ca/kevhpnenbr1b6/","https://images.homes.com/listings/117/5375941374-010828312/10946-international-dr-rancho-cordova-ca-buildingphoto-2.jpg","https://www.homes.com/property/10946-international-dr-rancho-cordova-ca/kevhpnenbr1b6/","https://images.homes.com/listings/117/9375941374-010828312/10946-international-dr-rancho-cordova-ca-buildingphoto-3.jpg","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/10946-international-dr-rancho-cordova-ca/kevhpnenbr1b6/"" role=""link"" aria-label=""10946 International Dr, Rancho Cordova, CA 95670"" title=""10946 International Dr, Rancho Cordova, CA 95670"">
                                    <img class=""embla__slide__img image-container"" alt=""10946 International Dr, Rancho Cordova, CA 95670"" />
                                </a>
                            </div>
                        </div>","77","$534,000","4 Beds","3.5 Baths","2,168 Sq Ft","10946 International Dr, Rancho Cordova, CA 95670","Space, style, and location come together at 10946 International Drive in Rancho Cordova. This impressive three-story home offers flexibility and room to grow with 4 bedrooms, 3 full bathrooms, and 1 half bath, making it ideal for today's modern lifestyle. Designed for both comfort and convenience, the multi-level layout creates natural separation between living, working, and relaxing","Jasmine Sunkara","eXp Realty of California Inc.","https://images.homes.com/brands/118/7121_aspect.png?t=p","https://www.homes.com/property/10946-international-dr-rancho-cordova-ca/kevhpnenbr1b6/","10946 International Dr, Rancho Cordova, CA 95670","","","","","",""
"https://www.homes.com/property/3048-irazu-way-rancho-cordova-ca/bnsknkqq8471b/","https://www.homes.com/assets/images/spacer.gif","https://imagescdn.homes.com/i2/diefiN2ia5GFIJWLvbKjtSq7RKZi9ocosqXOTVYrQfE/117/3048-irazu-way-rancho-cordova-ca-primaryphoto.jpg?p=1","https://www.homes.com/property/3048-irazu-way-rancho-cordova-ca/bnsknkqq8471b/","https://imagescdn.homes.com/i2/zSQCk872qG7WKVWmkHWgQ_8fHBRNsC1x_Tuo1QfOoeE/117/3048-irazu-way-rancho-cordova-ca-interiorphoto-2.jpg?p=1","https://www.homes.com/property/3048-irazu-way-rancho-cordova-ca/bnsknkqq8471b/","https://imagescdn.homes.com/i2/wreRafdIhbrTznF0OOcUFLs6KVmAc4JXE051GzG3EJA/117/3048-irazu-way-rancho-cordova-ca-interiorphoto-3.jpg?p=1","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/3048-irazu-way-rancho-cordova-ca/bnsknkqq8471b/"" role=""link"" aria-label=""3048 Irazu Way, Rancho Cordova, CA 95742"" title=""3048 Irazu Way, Rancho Cordova, CA 95742"">
                                    <img class=""embla__slide__img image-container"" alt=""3048 Irazu Way, Rancho Cordova, CA 95742"" />
                                </a>
                            </div>
                        </div>","13","","4 Beds","2.5 Baths","2,353 Sq Ft","3048 Irazu Way, Rancho Cordova, CA 95742","As the only two-story option in Sutter at Rio Del Oro, Plan 2353 has plenty of room for the whole family to thrive under one roof. Enter the home through the sizable covered porch or the two-car garage to find a perfectly-placed bathroom and entryway that leads you into the main living area. The gourmet kitchen features a massive island for optimal seating and counter space, as well as double","","","","","","$729,170","New Construction","Elliott Homes","Builder","https://www.homes.com/property/3048-irazu-way-rancho-cordova-ca/bnsknkqq8471b/","3048 Irazu Way, Rancho Cordova, CA 95742"
"https://www.homes.com/property/plan-1644-westcott-station/slmc996szqv0x/","https://www.homes.com/assets/images/spacer.gif","https://imagescdn.homes.com/i2/D4GlJMIZEspr36aKVjM230dofrn1MMDzTBvp8eLtIPI/117/3636-parc-villa-cir-sacramento-ca-primaryphoto.jpg?p=1","https://www.homes.com/property/plan-1644-westcott-station/slmc996szqv0x/","https://imagescdn.homes.com/i2/DcJCjd5SAXaS2kLmcWkp5_MLo2B4lWs-LCTLT4bPczo/117/3636-parc-villa-cir-sacramento-ca--2.jpg?p=1","https://www.homes.com/property/plan-1644-westcott-station/slmc996szqv0x/","https://imagescdn.homes.com/i2/3V0cYSV-HbJWGlnVaTUobuc4K758dU3jN2i6WxuQfwg/117/3636-parc-villa-cir-sacramento-ca--3.jpg?p=1","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/plan-1644-westcott-station/slmc996szqv0x/"" role=""link"" aria-label=""3636 Parc Villa Cir Unit 36514523, Sacramento, CA 95827"" title=""3636 Parc Villa Cir Unit 36514523, Sacramento, CA 95827"">
                                    <img class=""embla__slide__img image-container"" alt=""3636 Parc Villa Cir Unit 36514523, Sacramento, CA 95827"" />
                                </a>
                            </div>
                        </div>","6","","3 Beds","2.5 Baths","1,644 Sq Ft","Plan 1644 at Westcott Station, Sacramento, CA 95827","* Walk-in kitchen pantry * Under-stair storage * Loft * Dual-sink vanity at primary bath * Quartz kitchen countertops * Luxury vinyl plank flooring at entry, kitchen, laundry and baths * Extra storage space * Spacious great room * Kitchen USB charging port * Low-E windows * Smart thermostat * ENERGY STAR certified home * Close to popular restaurants * Commuter-friendly location * Close to golf","","","","","","$472,990","New Construction","KB Home","Builder","",""
"https://www.homes.com/property/10180-country-way-sacramento-ca/pfhebmjzyszrg/","https://www.homes.com/assets/images/spacer.gif","https://images.homes.com/listings/117/3464061774-033567512/10180-country-way-sacramento-ca-primaryphoto.jpg","https://www.homes.com/property/10180-country-way-sacramento-ca/pfhebmjzyszrg/","https://images.homes.com/listings/117/6615061774-033567512/10180-country-way-sacramento-ca-buildingphoto-2.jpg","https://www.homes.com/property/10180-country-way-sacramento-ca/pfhebmjzyszrg/","https://images.homes.com/listings/117/6715061774-033567512/10180-country-way-sacramento-ca-buildingphoto-3.jpg","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/10180-country-way-sacramento-ca/pfhebmjzyszrg/"" role=""link"" aria-label=""10180 Country Way, Sacramento, CA 95827"" title=""10180 Country Way, Sacramento, CA 95827"">
                                    <img class=""embla__slide__img image-container"" alt=""10180 Country Way, Sacramento, CA 95827"" />
                                </a>
                            </div>
                        </div>","53","$445,000","3 Beds","2 Baths","1,067 Sq Ft","10180 Country Way, Sacramento, CA 95827","Welcome to this beautifully updated 3 bed 2 bath home located in a highly desirable Rancho Cordova neighborhood. Offering 1,067sqft of thoughtfully refreshed living space, this home features newer flooring, fresh interior paint and updated kitchen that brings a modern, clean feel throughout. The functional layout makes great use of the space, perfect for comfortable everyday living. Step outside","Stephan Karapetyan","Keller Williams Realty Folsom","https://images.homes.com/brands/118/7121_aspect.png?t=p","https://www.homes.com/property/10180-country-way-sacramento-ca/pfhebmjzyszrg/","10180 Country Way, Sacramento, CA 95827","","","","","",""
"https://www.homes.com/property/10935-bushel-way-rancho-cordova-ca/t573bgbmmljt0/","https://www.homes.com/assets/images/spacer.gif","https://imagescdn.homes.com/i2/oIjqbd3IafNIWO96fpo4TUshA-bDly4h8BTUeIgpZBU/111/10935-bushel-way-rancho-cordova-ca-primaryphoto.jpg?t=p&p=1","https://www.homes.com/property/10935-bushel-way-rancho-cordova-ca/t573bgbmmljt0/","https://imagescdn.homes.com/i2/qKq6s6ycxPXeVsQPiZCcL1zut1RyQhcYT0VQoyCOerU/117/10935-bushel-way-rancho-cordova-ca-interiorphoto-2.jpg?p=1","https://www.homes.com/property/10935-bushel-way-rancho-cordova-ca/t573bgbmmljt0/","https://imagescdn.homes.com/i2/uJCpAOKyw02S9qFX9129xO_T8veIcx7-UZVhmXepkgM/117/10935-bushel-way-rancho-cordova-ca-interiorphoto-3.jpg?p=1","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/10935-bushel-way-rancho-cordova-ca/t573bgbmmljt0/"" role=""link"" aria-label=""10935 Bushel Way, Rancho Cordova, CA 95670"" title=""10935 Bushel Way, Rancho Cordova, CA 95670"">
                                    <img class=""embla__slide__img image-container"" alt=""10935 Bushel Way, Rancho Cordova, CA 95670"" />
                                </a>
                            </div>
                        </div>","10","","3 Beds","2.5 Baths","1,452 Sq Ft","10935 Bushel Way, Rancho Cordova, CA 95670","Welcome to Plan 1452 at Veranda in Stone Creek Village! This beautiful single family home in Rancho Cordova, CA offers 3 beds, 2.5 baths, and 1,452 sq ft of living space. With a 2 car garage, 2 story layout and low to no maintenance landscaping, this home is perfect for busy families.The downstairs features an open kitchen and dining area, a separate great room, a coat closet, covered patio, and","","","","","","$471,950","New Construction","Elliott Homes","Builder","https://www.homes.com/property/10935-bushel-way-rancho-cordova-ca/t573bgbmmljt0/","10935 Bushel Way, Rancho Cordova, CA 95670"
"https://www.homes.com/property/10939-bushel-way-rancho-cordova-ca/zjcxsnkxxgsgs/","https://www.homes.com/assets/images/spacer.gif","https://imagescdn.homes.com/i2/BFFC7P_kXlw-Sh38zSWAN_NogMIm4c_XR1bm3hCoDUg/111/10939-bushel-way-rancho-cordova-ca-primaryphoto.jpg?t=p&p=1","https://www.homes.com/property/10939-bushel-way-rancho-cordova-ca/zjcxsnkxxgsgs/","https://imagescdn.homes.com/i2/vBQq_FPeaOU20feYyAZoX0HVTF4ZOaZCwwyVnzYfFAU/117/10939-bushel-way-rancho-cordova-ca-interiorphoto-2.jpg?p=1","https://www.homes.com/property/10939-bushel-way-rancho-cordova-ca/zjcxsnkxxgsgs/","https://imagescdn.homes.com/i2/vZSY_2FJr3_Q3nwbL9gYQUO7MP6fgeDteFzdTwx7W7k/117/10939-bushel-way-rancho-cordova-ca-interiorphoto-3.jpg?p=1","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/10939-bushel-way-rancho-cordova-ca/zjcxsnkxxgsgs/"" role=""link"" aria-label=""10939 Bushel Way, Rancho Cordova, CA 95670"" title=""10939 Bushel Way, Rancho Cordova, CA 95670"">
                                    <img class=""embla__slide__img image-container"" alt=""10939 Bushel Way, Rancho Cordova, CA 95670"" />
                                </a>
                            </div>
                        </div>","10","","3 Beds","2.5 Baths","1,452 Sq Ft","10939 Bushel Way, Rancho Cordova, CA 95670","Welcome to Plan 1452 at Veranda in Stone Creek Village! This beautiful single family home in Rancho Cordova, CA offers 3 beds, 2.5 baths, and 1,452 sq ft of living space. With a 2 car garage, 2 story layout and low to no maintenance landscaping, this home is perfect for busy families.The downstairs features an open kitchen and dining area, a separate great room, a coat closet, covered patio, and","","","","","","$469,950","New Construction","Elliott Homes","Builder","https://www.homes.com/property/10939-bushel-way-rancho-cordova-ca/zjcxsnkxxgsgs/","10939 Bushel Way, Rancho Cordova, CA 95670"
"https://www.homes.com/property/10907-bushel-way-rancho-cordova-ca/mnncvz55swkl2/","https://www.homes.com/assets/images/spacer.gif","https://imagescdn.homes.com/i2/ytztAgN5lum649i0pY0xAgJAUURy4ZXKugmgvro0pys/111/10907-bushel-way-rancho-cordova-ca-primaryphoto.jpg?t=p&p=1","https://www.homes.com/property/10907-bushel-way-rancho-cordova-ca/mnncvz55swkl2/","https://imagescdn.homes.com/i2/a8qQBug_8IHechCrH84Nsf70fWsiA7GwQGhJj_bch3I/117/10907-bushel-way-rancho-cordova-ca-interiorphoto-2.jpg?p=1","https://www.homes.com/property/10907-bushel-way-rancho-cordova-ca/mnncvz55swkl2/","https://imagescdn.homes.com/i2/YwBaShoMSnJ8DGVmY8VBAn5RqNsZBwZ-vzcIxMfM9Nw/117/10907-bushel-way-rancho-cordova-ca-interiorphoto-3.jpg?p=1","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/10907-bushel-way-rancho-cordova-ca/mnncvz55swkl2/"" role=""link"" aria-label=""10907 Bushel Way, Rancho Cordova, CA 95670"" title=""10907 Bushel Way, Rancho Cordova, CA 95670"">
                                    <img class=""embla__slide__img image-container"" alt=""10907 Bushel Way, Rancho Cordova, CA 95670"" />
                                </a>
                            </div>
                        </div>","11","","3 Beds","2.5 Baths","1,452 Sq Ft","10907 Bushel Way, Rancho Cordova, CA 95670","Welcome to Plan 1452 at Veranda in Stone Creek Village! This beautiful single family home in Rancho Cordova, CA offers 3 beds, 2.5 baths, and 1,452 sq ft of living space. With a 2 car garage, 2 story layout and low to no maintenance landscaping, this home is perfect for busy families.The downstairs features an open kitchen and dining area, a separate great room, a coat closet, covered patio, and","","","","","","$487,207","New Construction","Elliott Homes","Builder","https://www.homes.com/property/10907-bushel-way-rancho-cordova-ca/mnncvz55swkl2/","10907 Bushel Way, Rancho Cordova, CA 95670"
"https://www.homes.com/property/10512-glenview-way-rancho-cordova-ca/pnqrqhcce7392/","https://www.homes.com/assets/images/spacer.gif","https://images.homes.com/listings/117/0632409084-769700712/10512-glenview-way-rancho-cordova-ca-primaryphoto.jpg","https://www.homes.com/property/10512-glenview-way-rancho-cordova-ca/pnqrqhcce7392/","https://images.homes.com/listings/117/3632409084-769700712/10512-glenview-way-rancho-cordova-ca-buildingphoto-2.jpg","https://www.homes.com/property/10512-glenview-way-rancho-cordova-ca/pnqrqhcce7392/","https://images.homes.com/listings/117/6632409084-769700712/10512-glenview-way-rancho-cordova-ca-buildingphoto-3.jpg","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/10512-glenview-way-rancho-cordova-ca/pnqrqhcce7392/"" role=""link"" aria-label=""10512 Glenview Way, Rancho Cordova, CA 95670"" title=""10512 Glenview Way, Rancho Cordova, CA 95670"">
                                    <img class=""embla__slide__img image-container"" alt=""10512 Glenview Way, Rancho Cordova, CA 95670"" />
                                </a>
                            </div>
                        </div>","45","$510,000","3 Beds","2 Baths","1,524 Sq Ft","10512 Glenview Way, Rancho Cordova, CA 95670","Welcome to 10512 Glenview Way in Rancho Cordova, a spacious 5-bedroom, 2-bath home situated on a large lot with potential RV access, offering flexibility for both everyday living and future possibilities. With plenty of room to spread out, this home features a functional layout with multiple bedrooms that can easily accommodate a growing household, home office space, or guest rooms. The generous","Jennifer Franco","Prime Real Estate","https://images.homes.com/brands/118/7121_aspect.png?t=p","https://www.homes.com/property/10512-glenview-way-rancho-cordova-ca/pnqrqhcce7392/","10512 Glenview Way, Rancho Cordova, CA 95670","","","","","",""
